Number of Iterations,Reward,Lost Data
762.0,-78.80158203,106.9099609
763.0,-72.78134766,92.35498047
764.0,-78.05599609,105.0948242
765.0,-77.64441406,103.0539063
766.0,-78.06332031,104.0743164
767.0,-79.24529297,107.1256836
768.0,-80.30550781,109.7383789
769.0,-78.69070313,105.2008789
770.0,-78.90986328,105.4545898
771.0,-73.28582031,91.27851563
772.0,-76.046875,97.55371094
773.0,-75.75306641,96.69589844
774.0,-80.25087891,107.2910156
775.0,-81.65828125,111.51875
776.0,-74.33513672,93.34882813
777.0,-73.96441406,92.21816406
778.0,-71.98458984,87.66777344
779.0,-74.00255859,91.74345703
780.0,-74.47359375,93.24453125
781.0,-80.32638672,107.4089844
782.0,-73.34445313,90.23125
783.0,-175.6093945,345.8044922
784.0,-77.81865234,100.8515625
785.0,-74.13408203,91.72070313
786.0,-74.86121094,93.3078125
787.0,-73.86837891,90.79521484
788.0,-82.01210938,110.3671875
789.0,-77.71015625,99.92236328
790.0,-70.74921875,82.61767578
791.0,-79.30351563,103.8203125
792.0,-72.84361328,87.82314453
793.0,-72.01900391,85.51015625
794.0,-79.62089844,104.1499023
795.0,-74.79097656,92.37539063
796.0,-74.74910156,91.66767578
797.0,-79.77423828,103.8801758
798.0,-74.82673828,91.20380859
799.0,-79.12546875,101.9713867
800.0,-76.10845703,94.46914063
801.0,-82.52003906,110.3796875
802.0,-72.22195313,84.40986328
803.0,-73.57537109,87.69453125
804.0,-71.79958984,83.53339844
805.0,-72.38160156,84.46474609
806.0,-77.06949219,96.21132813
807.0,-71.42027344,81.73671875
808.0,-77.18128906,96.59824219
809.0,-78.99335938,100.6157227
810.0,-76.65662109,95.01923828
811.0,-77.23525391,96.25341797
812.0,-75.60837891,92.02265625
813.0,-74.95455078,90.21962891
814.0,-73.26894531,85.53076172
815.0,-74.47085938,88.66494141
816.0,-74.48453125,88.43300781
817.0,-71.21107422,80.65830078
818.0,-74.04984375,87.44150391
819.0,-73.69449219,86.89248047
820.0,-75.67134766,91.41835938
821.0,-83.76222656,111.9348633
822.0,-80.82761719,104.3175781
823.0,-70.38935547,78.3671875
824.0,-78.82125,99.36757813
825.0,-70.6428125,78.70664063
826.0,-70.91902344,79.26777344
827.0,-71.90892578,81.70224609
828.0,-77.73289063,95.86298828
829.0,-76.81689453,93.16162109
830.0,-68.54511719,73.09863281
831.0,-78.29376953,97.33232422
832.0,-74.90574219,88.96845703
833.0,-73.71177734,85.46230469
834.0,-76.02734375,91.48925781
835.0,-74.15900391,86.96123047
836.0,-79.87214844,100.7912109
837.0,-79.39833984,99.16845703
838.0,-69.69623047,75.40390625
839.0,-69.58375,75.20205078
840.0,-77.60251953,95.14033203
841.0,-73.29636719,84.57636719
842.0,-75.02041016,88.36523438
843.0,-72.68585938,82.50566406
844.0,-75.27908203,89.28535156
845.0,-78.94220703,97.67412109
846.0,-74.78982422,87.73017578
847.0,-73.31007813,84.02714844
848.0,-73.38222656,83.93896484
849.0,-75.77101563,90.09892578
850.0,-67.36861328,68.55947266
851.0,-72.00148438,80.04033203
852.0,-71.07769531,77.58193359
853.0,-70.50773438,76.23759766
854.0,-71.90087891,79.72900391
855.0,-76.32890625,90.68310547
856.0,-74.27757813,85.53037109
857.0,-72.71152344,81.93017578
858.0,-79.65095703,99.03095703
859.0,-74.28960938,85.22841797
860.0,-74.66107422,86.19492188
861.0,-77.84521484,94.20654297
862.0,-72.51935547,80.51835938
863.0,-77.305,92.48369141
864.0,-74.40591797,85.33974609
865.0,-71.12119141,76.85205078
866.0,-72.30261719,79.74824219
867.0,-78.50601563,94.93691406
868.0,-75.22292969,86.94892578
869.0,-76.18402344,89.55917969
870.0,-75.32755859,86.96025391
871.0,-72.63453125,80.06044922
872.0,-75.11443359,86.25166016
873.0,-76.14837891,88.58994141
874.0,-71.07214844,76.04951172
875.0,-69.62304688,72.42919922
876.0,-71.83919922,78.25400391
877.0,-78.56115234,94.53642578
878.0,-73.0709375,81.24667969
879.0,-79.57925781,96.95595703
880.0,-73.04744141,80.83515625
881.0,-72.32019531,78.96210938
882.0,-72.929375,80.33369141
883.0,-71.14681641,75.75644531
884.0,-76.25193359,88.04316406
885.0,-76.18488281,88.15263672
886.0,-76.9503125,90.02714844
887.0,-67.97771484,67.42597656
888.0,-72.96072266,79.50019531
889.0,-75.67068359,86.52412109
890.0,-70.93720703,74.91503906
891.0,-67.30009766,65.58544922
892.0,-70.07058594,72.56904297
893.0,-72.89451172,79.79365234
894.0,-70.0021875,72.57138672
895.0,-70.04248047,72.37060547
896.0,-72.06662109,77.57011719
897.0,-70.801875,74.20683594
898.0,-69.48333984,70.93613281
899.0,-74.17287109,82.23271484
900.0,-74.13097656,81.92167969
901.0,-71.32445312,75.39121094
902.0,-74.31892578,82.88349609
903.0,-73.31757813,80.64990234
904.0,-72.54679688,78.19316406
905.0,-68.92857422,69.78847656
906.0,-76.00333984,86.79423828
907.0,-74.7321875,84.24990234
908.0,-76.70363281,88.96123047
909.0,-76.0625,87.35839844
910.0,-69.80150391,71.90244141
911.0,-74.37166016,83.15205078
912.0,-77.07001953,90.00537109
913.0,-71.53388672,75.93554688
914.0,-73.29326172,80.34375
915.0,-72.70203125,78.659375
916.0,-71.85884766,76.68691406
917.0,-76.00607422,86.98662109
918.0,-75.94449219,86.74599609
919.0,-71.03335938,74.66835938
920.0,-73.21558594,79.96523438
921.0,-75.49269531,85.44072266
922.0,-65.01154297,59.80791016
923.0,-72.52109375,77.97753906
924.0,-77.56121094,90.58027344
925.0,-73.49716797,80.41894531
926.0,-72.2115625,76.58847656
927.0,-73.01179688,78.56464844
928.0,-69.54119141,70.175
929.0,-72.69925781,77.87607422
930.0,-75.08976563,83.91826172
931.0,-74.71365234,82.38837891
932.0,-67.78503906,65.65888672
933.0,-70.34689453,71.25175781
934.0,-72.54619141,76.73535156
935.0,-67.96953125,65.34130859
936.0,-72.6396875,77.02402344
937.0,-75.32363281,83.21142578
938.0,-72.52101563,76.25371094
939.0,-72.94083984,77.15800781
940.0,-70.10728516,70.17421875
941.0,-70.93654297,72.32792969
942.0,-73.66871094,78.62978516
943.0,-71.93541016,74.57363281
944.0,-73.75921875,78.99033203
